source,source_url,player_id,name,team,league,nationality,age,height,weight,main_position,overall_rating,rating_as_GK,rating_as_CB,rating_as_LB,rating_as_RB,rating_as_DMF,rating_as_CMF,rating_as_LMF,rating_as_RMF,rating_as_AMF,rating_as_LWF,rating_as_RWF,rating_as_SS,rating_as_CF,attacking_prowess,ball_control,dribbling,low_pass,lofted_pass,finishing,place_kicking,swerve,header,defensive_prowess,ball_winning,kicking_power,speed,explosive_power,body_control,physical_contact,jump,stamina,goalkeeping,catching,clearing,reflexes,coverage,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
pesmaster,https://www.pesmaster.com/j-zoua/pes-2018/player/40862/,40862,70 J. Zoua,Free,Position,Cameroon,26,186,78,CF,,,,,,,,,,,,,,,70,72,70,68,72,58,68,,56,48,77,80,82,68,78,75,40,2,40,40,40,40,72,,,3,
pesmaster,https://www.pesmaster.com/j-toornstra/pes-2018/player/40870/,40870,77 J. Toornstra,Feyenoord Rotterdam,Eredivisie,Netherlands,28,178,74,AMF,,,,,,,,,,,,,,,77,75,78,78,75,78,77,,63,52,78,75,73,75,72,70,40,2,40,40,40,40,82,,,3,
pesmaster,https://www.pesmaster.com/c-eriksen/pes-2018/player/40871/,40871,86 C. Eriksen,Tottenham Hotspur,English League,Denmark,25,175,71,AMF,,,,,,,,,,,,,,,86,84,89,86,77,87,85,,60,61,81,76,80,83,64,62,40,2,40,40,40,40,88,,,2,
pesmaster,https://www.pesmaster.com/s-de-vrij/pes-2018/player/40875/,40875,82 S. de Vrij,S.S. Lazio,Italian League,Netherlands,25,188,78,CB,,,,,,,,,,,,,,,74,67,73,75,57,60,72,,85,85,73,72,74,85,81,77,40,3,40,40,40,40,78,,,2,
pesmaster,https://www.pesmaster.com/l-castaignos/pes-2018/player/40876/,40876,73 L. Castaignos,Vitesse,Eredivisie,Netherlands,25,188,83,CF,,,,,,,,,,,,,,,79,77,70,62,70,67,67,,50,48,76,80,79,70,76,76,40,3,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/l-bacuna/pes-2018/player/40882/,40882,72 L. Bacuna,Reading,English 2nd division,Curaçao,26,187,77,RB,,,,,,,,,,,,,,,71,71,70,73,62,75,77,,63,65,76,75,77,64,71,70,40,2,40,40,40,40,79,,,3,
pesmaster,https://www.pesmaster.com/d-lachman/pes-2018/player/40884/,40884,71 D. Lachman,Willem II,Eredivisie,Netherlands,28,189,75,CB,,,,,,,,,,,,,,,69,70,72,74,59,55,64,,73,73,77,75,76,63,79,71,40,2,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/f-duricic/pes-2018/player/40887/,40887,74 F. Đuričić,Benevento Calcio,Italian League,Serbia,25,181,72,AMF,,,,,,,,,,,,,,,81,80,76,69,70,68,77,,54,51,79,78,75,74,60,72,40,3,40,40,40,40,70,,,3,
pesmaster,https://www.pesmaster.com/van-der-maarel/pes-2018/player/40898/,40898,71 van der Maarel,FC Utrecht,Eredivisie,Netherlands,28,177,74,RB,,,,,,,,,,,,,,,68,69,71,71,62,62,65,,73,72,72,70,71,73,72,72,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/r-pereyra/pes-2018/player/40919/,40919,79 R. Pereyra,Watford,English League,Argentina,26,182,77,AMF,,,,,,,,,,,,,,,83,84,77,74,70,60,73,,67,54,80,85,80,79,72,71,40,4,40,40,40,40,85,,,3,
pesmaster,https://www.pesmaster.com/raul-baena/pes-2018/player/40923/,40923,72 Raúl Baena,Granada CF,Spanish 2nd division,Spain,28,181,75,DMF,,,,,,,,,,,,,,,74,68,73,71,63,65,68,,74,72,72,70,73,68,70,71,40,2,40,40,40,40,71,,,2,
pesmaster,https://www.pesmaster.com/m-rybus/pes-2018/player/40936/,40936,75 M. Rybus,Free,Position,Poland,28,173,75,LB,,,,,,,,,,,,,,,74,72,74,76,59,78,75,,63,65,75,81,79,80,65,72,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/w-szczesny/pes-2018/player/40937/,40937,83 W. Szczęsny,Juventus,Italian League,Poland,27,196,85,GK,,,,,,,,,,,,,,,55,53,57,68,42,55,61,,60,53,65,52,55,61,87,86,88,2,87,88,91,92,59,,,2,
pesmaster,https://www.pesmaster.com/k-salata/pes-2018/player/40957/,40957,70 K. Saláta,Free,Position,Slovakia,32,191,89,CB,,,,,,,,,,,,,,,68,65,68,64,55,50,65,,75,76,72,68,66,68,78,75,40,2,40,40,40,40,74,,,3,
pesmaster,https://www.pesmaster.com/k-babacar/pes-2018/player/40961/,40961,77 K. Babacar,U.S. Sassuolo,Italian League,Senegal,24,191,85,CF,,,,,,,,,,,,,,,77,73,68,58,82,62,69,,,50,83,78,76,63,85,77,40,3,40,40,40,40,76,,,2,
pesmaster,https://www.pesmaster.com/e-rodriguez/pes-2018/player/40968/,40968,70 E. Rodríguez,Free,Position,Bolivia,33,175,68,CB,,,,,,,,,,,,,,,68,72,70,68,58,50,66,,72,70,73,76,75,68,70,78,40,2,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/c-ramos/pes-2018/player/40977/,40977,70 C. Ramos,Free,Position,Peru,29,185,74,CB,,,,,,,,,,,,,,,64,61,68,65,55,56,62,,73,78,72,72,67,69,78,75,40,2,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/ruben-micael/pes-2018/player/40984/,40984,79 Rúben Micael,Paços de Ferreira,Portugal League,Portugal,31,176,69,AMF,,,,,,,,,,,,,,,82,82,84,77,70,81,80,,62,66,74,76,77,66,65,63,40,2,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/b-ideye/pes-2018/player/40985/,40985,77 B. Ideye,Málaga CF,Spanish League,Nigeria,29,181,78,CF,,,,,,,,,,,,,,,73,76,71,62,82,58,56,,48,54,78,84,82,60,80,84,40,2,40,40,40,40,80,,,2,
pesmaster,https://www.pesmaster.com/m-vidal/pes-2018/player/40988/,40988,64 M. Vidal,Toulouse FC,Ligue 1,France,26,183,83,GK,,,,,,,,,,,,,,,61,57,55,55,45,45,45,,62,43,76,66,74,72,78,77,75,2,74,66,69,70,58,,,3,
pesmaster,https://www.pesmaster.com/s-aurier/pes-2018/player/40989/,40989,80 S. Aurier,Tottenham Hotspur,English League,Côte d'Ivoire,25,176,76,RB,,,,,,,,,,,,,,,64,70,65,72,55,55,82,,,76,74,82,79,72,88,89,40,2,40,40,40,40,83,,,2,
pesmaster,https://www.pesmaster.com/anthony-lopes/pes-2018/player/40990/,40990,84 Anthony Lopes,Olympique Lyonnais,Ligue 1,Portugal,27,184,81,GK,,,,,,,,,,,,,,,60,59,64,61,46,55,54,,65,62,79,62,68,64,75,89,93,2,87,89,92,89,68,,,3,
pesmaster,https://www.pesmaster.com/a-diallo/pes-2018/player/40994/,40994,74 A. Diallo,Stade Rennais FC,Ligue 1,Senegal,25,189,79,GK,,,,,,,,,,,,,,,61,53,55,67,47,50,48,,64,48,77,71,72,58,81,81,82,3,80,81,83,81,65,,,3,
pesmaster,https://www.pesmaster.com/m-te-wierik/pes-2018/player/40996/,40996,72 M. Te Wierik,FC Groningen,Eredivisie,Netherlands,25,191,73,CB,,,,,,,,,,,,,,,69,66,70,68,59,57,65,,75,76,72,71,69,65,78,76,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/r-cabella/pes-2018/player/41000/,41000,81 R. Cabella,AS Saint-Étienne,Ligue 1,France,27,171,68,AMF,,,,,,,,,,,,,,,80,85,79,74,73,76,80,,62,51,79,83,87,89,80,61,40,2,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/f-borini/pes-2018/player/41004/,41004,74 F. Borini,AC Milan,Italian League,Italy,26,180,74,LWF,,,,,,,,,,,,,,,79,78,74,67,78,62,63,,47,45,76,77,79,64,66,67,40,2,40,40,40,40,73,,,2,
pesmaster,https://www.pesmaster.com/s-verdi/pes-2018/player/41011/,41011,77 S. Verdi,Bologna,Italian League,Italy,25,171,62,RWF,,,,,,,,,,,,,,,83,80,75,70,67,74,75,,53,42,71,86,88,85,63,66,40,2,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/m-lestienne/pes-2018/player/41013/,41013,77 M. Lestienne,Málaga CF,Spanish League,Belgium,25,176,63,LWF,,,,,,,,,,,,,,,77,80,74,73,74,69,77,,50,50,77,83,84,84,63,68,40,4,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/inigo-perez/pes-2018/player/41020/,41020,71 Iñigo Pérez,CD Numancia,Spanish 2nd division,Spain,29,178,74,CMF,,,,,,,,,,,,,,,74,61,82,79,60,81,70,,65,66,73,68,69,69,69,73,40,3,40,40,40,40,79,,,2,
pesmaster,https://www.pesmaster.com/juan-dominguez/pes-2018/player/41022/,41022,72 Juan Domínguez,CF Reus Deportiu,Spanish 2nd division,Spain,27,181,71,CMF,,,,,,,,,,,,,,,78,74,78,76,70,62,75,,64,51,78,68,65,67,67,73,40,2,40,40,40,40,80,,,2,
pesmaster,https://www.pesmaster.com/javi-lopez/pes-2018/player/41023/,41023,76 Javi López,RCD Espanyol,Spanish League,Spain,31,180,76,RB,,,,,,,,,,,,,,,76,68,76,71,61,62,67,,75,79,67,76,70,72,79,77,40,1,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/m-henriksen/pes-2018/player/41034/,41034,78 M. Henriksen,Hull City,English 2nd division,Norway,25,187,85,CMF,,,,,,,,,,,,,,,80,71,78,74,75,60,59,,71,71,86,76,73,66,80,81,40,2,40,40,40,40,86,,,1,
pesmaster,https://www.pesmaster.com/m-agazzi/pes-2018/player/41045/,41045,74 M. Agazzi,Ascoli,Italian 2nd division,Italy,33,191,86,GK,,,,,,,,,,,,,,,55,55,57,51,55,53,52,,56,51,84,68,72,58,80,89,81,2,80,83,85,77,70,,,3,
pesmaster,https://www.pesmaster.com/r-nainggolan/pes-2018/player/41046/,41046,87 R. Nainggolan,Roma,Italian League,Belgium,29,176,65,CMF,,,,,,,,,,,,,,,84,80,84,81,78,67,73,,83,92,84,78,81,85,80,74,40,3,40,40,40,40,94,,,3,
pesmaster,https://www.pesmaster.com/p-souare/pes-2018/player/41047/,41047,74 P. Souaré,Crystal Palace,English League,Senegal,27,178,68,LB,,,,,,,,,,,,,,,73,76,74,72,60,58,70,,60,70,66,78,82,68,70,80,40,1,40,40,40,40,80,,,1,
pesmaster,https://www.pesmaster.com/b-angoua/pes-2018/player/41048/,41048,72 B. Angoua,En Avant de Guingamp,Ligue 1,Côte d'Ivoire,31,183,72,CB,,,,,,,,,,,,,,,70,56,67,65,49,54,64,,79,79,74,60,68,59,80,82,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/e-colak/pes-2018/player/41055/,41055,80 E. Çolak,Deportivo La Coruña,Spanish League,Turkey,26,168,62,AMF,,,,,,,,,,,,,,,84,82,79,78,74,79,76,,60,52,74,73,82,86,61,60,40,2,40,40,40,40,79,,,2,
pesmaster,https://www.pesmaster.com/h-seferovic/pes-2018/player/41063/,41063,75 H. Seferović,SL Benfica,Portugal League,Switzerland,25,185,85,CF,,,,,,,,,,,,,,,75,74,72,70,76,65,65,,55,53,79,78,71,67,83,78,40,1,40,40,40,40,79,,,3,
pesmaster,https://www.pesmaster.com/c-immobile/pes-2018/player/41066/,41066,84 C. Immobile,S.S. Lazio,Italian League,Italy,27,184,80,CF,,,,,,,,,,,,,,,81,80,75,68,88,58,74,,52,51,86,85,79,83,78,78,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/suk-hyunjun/pes-2018/player/41073/,41073,75 Suk Hyun-Jun,ESTAC Troyes,Ligue 1,South Korea,26,191,84,CF,,,,,,,,,,,,,,,75,74,71,67,75,57,65,,53,50,82,81,77,70,82,85,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/omar-ramos/pes-2018/player/41079/,41079,75 Omar Ramos,CD Leganés,Spanish League,Spain,29,176,67,LWF,,,,,,,,,,,,,,,77,79,74,73,68,63,82,,57,55,67,77,81,76,67,70,40,2,40,40,40,40,72,,,3,
pesmaster,https://www.pesmaster.com/koke/pes-2018/player/41082/,41082,85 Koke,Atlético de Madrid,Spanish League,Spain,25,178,73,CMF,,,,,,,,,,,,,,,88,84,88,86,72,79,86,,64,67,84,71,77,81,76,63,40,3,40,40,40,40,85,,,3,
pesmaster,https://www.pesmaster.com/e-salvio/pes-2018/player/41083/,41083,80 E. Salvio,SL Benfica,Portugal League,Argentina,27,173,71,RWF,,,,,,,,,,,,,,,84,86,77,74,77,60,61,,47,46,79,87,88,85,72,82,40,2,40,40,40,40,77,,,1,
pesmaster,https://www.pesmaster.com/sergi-enrich/pes-2018/player/41085/,41085,79 Sergi Enrich,SD Eibar,Spanish League,Spain,27,181,77,CF,,,,,,,,,,,,,,,80,74,79,73,80,67,68,,56,61,76,77,79,65,78,74,40,3,40,40,40,40,81,,,3,
pesmaster,https://www.pesmaster.com/tomas-pina/pes-2018/player/41087/,41087,75 Tomás Pina,Alavés,Spanish League,Spain,30,185,75,CMF,,,,,,,,,,,,,,,83,75,79,78,56,64,66,,78,77,71,65,64,72,79,68,40,3,40,40,40,40,73,,,1,
pesmaster,https://www.pesmaster.com/jordi-amat/pes-2018/player/41088/,41088,75 Jordi Amat,Real Betis,Spanish League,Spain,25,184,78,CB,,,,,,,,,,,,,,,68,60,69,61,57,59,60,,,83,78,72,65,62,82,82,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/keko/pes-2018/player/41092/,41092,75 Keko,Málaga CF,Spanish League,Spain,26,172,68,RWF,,,,,,,,,,,,,,,78,78,72,71,70,60,72,,60,57,70,83,84,65,70,70,40,2,40,40,40,40,81,,,2,
pesmaster,https://www.pesmaster.com/portillo/pes-2018/player/41096/,41096,72 Portillo,Getafe CF,Spanish League,Spain,27,169,60,AMF,,,,,,,,,,,,,,,80,77,81,73,61,63,74,,50,50,68,75,77,85,61,67,40,2,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/juanmi/pes-2018/player/41100/,41100,78 Juanmi,Real Sociedad,Spanish League,Spain,24,170,63,SS,,,,,,,,,,,,,,,81,81,77,73,78,59,65,,55,58,69,76,78,83,61,76,40,3,40,40,40,40,74,,,2,
pesmaster,https://www.pesmaster.com/b-oviedo/pes-2018/player/41106/,41106,73 B. Oviedo,Sunderland,English 2nd division,Costa Rica,27,172,69,LB,,,,,,,,,,,,,,,76,77,69,74,65,62,70,,61,62,73,76,81,69,71,72,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/j-cork/pes-2018/player/41111/,41111,76 J. Cork,Burnley,English League,England,28,183,70,DMF,,,,,,,,,,,,,,,78,72,79,77,63,54,59,,77,75,68,65,69,73,76,70,40,3,40,40,40,40,84,,,2,
pesmaster,https://www.pesmaster.com/a-guedioura/pes-2018/player/41112/,41112,70 A. Guédioura,Nottingham Forest,English 2nd division,Algeria,32,186,81,CMF,,,,,,,,,,,,,,,72,69,73,72,65,61,60,,66,68,83,73,70,68,80,74,40,2,40,40,40,40,76,,,2,
pesmaster,https://www.pesmaster.com/k-walker/pes-2018/player/41119/,41119,82 K. Walker,Manchester City,English League,England,27,178,70,RB,,,,,,,,,,,,,,,73,74,72,79,56,71,71,,72,78,84,94,88,60,74,78,40,2,40,40,40,40,86,,,2,
pesmaster,https://www.pesmaster.com/t-cairney/pes-2018/player/41120/,41120,76 T. Cairney,Fulham,English 2nd division,Scotland,26,186,84,AMF,,,,,,,,,,,,,,,80,76,82,76,67,74,74,,65,64,77,72,76,78,70,65,40,1,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/d-alaba/pes-2018/player/41124/,41124,86 D. Alaba,Free,Position,Austria,25,180,76,LB,,,,,,,,,,,,,,,83,82,85,80,60,84,72,,75,82,80,86,86,75,62,80,40,2,40,40,40,40,86,,,2,
pesmaster,https://www.pesmaster.com/thiago-a/pes-2018/player/41126/,41126,87 Thiago A.,Free,Position,Spain,26,174,70,CMF,,,,,,,,,,,,,,,90,92,90,87,74,78,89,,76,74,74,72,78,87,60,74,40,2,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/eagyemangbadu/pes-2018/player/41131/,41131,74 E.agyemang-Badu,Free,Position,Ghana,27,173,71,CMF,,,,,,,,,,,,,,,72,73,71,70,62,62,62,,72,72,76,80,85,85,68,83,40,2,40,40,40,40,90,,,3,
pesmaster,https://www.pesmaster.com/j-matip/pes-2018/player/41135/,41135,83 J. Matip,Liverpool,English League,Cameroon,26,195,90,CB,,,,,,,,,,,,,,,73,70,78,78,58,57,66,,,90,72,79,72,65,85,70,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/g-mandjeck/pes-2018/player/41136/,41136,73 G. Mandjeck,FC Metz,Ligue 1,Cameroon,29,183,75,DMF,,,,,,,,,,,,,,,68,69,69,72,69,59,62,,75,73,60,84,74,68,78,74,40,2,40,40,40,40,81,,,3,
pesmaster,https://www.pesmaster.com/z-brkic/pes-2018/player/41143/,41143,72 Ž. Brkić,PAOK Thessaloniki FC,Other European Teams,Serbia,31,197,95,GK,,,,,,,,,,,,,,,52,55,62,60,55,54,56,,56,53,77,65,65,68,70,74,84,1,85,77,78,77,66,,,1,
pesmaster,https://www.pesmaster.com/r-petrovic/pes-2018/player/41144/,41144,74 R. Petrović,Sporting,Portugal League,Serbia,28,193,86,DMF,,,,,,,,,,,,,,,70,70,75,72,65,62,62,,72,69,76,69,69,61,82,75,40,2,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/s-rieks/pes-2018/player/41146/,41146,76 S. Rieks,Malmö FF,Other European Teams,Denmark,30,184,74,AMF,,,,,,,,,,,,,,,75,75,80,74,81,68,80,,50,51,71,74,74,70,75,74,40,4,40,40,40,40,80,,,2,
pesmaster,https://www.pesmaster.com/e-paredes/pes-2018/player/41152/,41152,77 E. Paredes,Colo Colo,Chilean League,Chile,37,178,82,CF,,,,,,,,,,,,,,,78,74,74,70,80,78,70,,50,45,76,75,75,70,82,74,40,3,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/s-coates/pes-2018/player/41153/,41153,80 S. Coates,Sporting,Portugal League,Uruguay,27,196,92,CB,,,,,,,,,,,,,,,70,70,72,71,63,70,70,,,82,80,67,62,65,90,80,40,2,40,40,40,40,81,,,3,
pesmaster,https://www.pesmaster.com/l-desabato/pes-2018/player/41158/,41158,75 L. Desábato,Estudiantes,Argentine League,Argentina,38,187,87,CB,,,,,,,,,,,,,,,63,59,72,61,50,69,67,,,81,80,63,60,70,87,73,40,2,40,40,40,40,70,,,3,
pesmaster,https://www.pesmaster.com/f-fernandez/pes-2018/player/41160/,41160,79 F. Fernández,Swansea City,English League,Argentina,28,190,83,CB,,,,,,,,,,,,,,,69,67,72,68,53,54,60,,85,79,80,70,67,72,86,83,40,2,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/e-perez/pes-2018/player/41163/,41163,80 E. Pérez,CA River Plate,Argentine League,Argentina,31,177,71,CMF,,,,,,,,,,,,,,,83,71,84,73,69,70,73,,74,73,78,73,81,81,75,75,40,3,40,40,40,40,85,,,3,
pesmaster,https://www.pesmaster.com/g-re/pes-2018/player/41166/,41166,69 G. Ré,CA Chacarita Juniors,Argentine League,Argentina,36,178,78,CB,,,,,,,,,,,,,,,59,55,63,57,54,50,63,,84,81,63,64,65,60,77,79,40,2,40,40,40,40,64,,,3,
pesmaster,https://www.pesmaster.com/r-brana/pes-2018/player/41167/,41167,71 R. Braña,Estudiantes,Argentine League,Argentina,38,167,71,CMF,,,,,,,,,,,,,,,71,70,72,73,62,60,65,,75,76,68,70,72,70,72,70,40,3,40,40,40,40,84,,,3,
pesmaster,https://www.pesmaster.com/d-albil/pes-2018/player/41169/,41169,66 D. Albil,Independiente,Argentine League,Argentina,38,182,76,GK,,,,,,,,,,,,,,,50,51,61,63,40,45,50,,55,49,78,69,75,66,78,81,75,3,72,73,80,69,64,,,3,
pesmaster,https://www.pesmaster.com/m-nunez/pes-2018/player/41170/,41170,74 M. Núñez,C.A. Patronato,Argentine League,Argentina,31,168,65,AMF,,,,,,,,,,,,,,,78,79,75,72,69,67,67,,49,42,75,80,88,60,71,75,40,4,40,40,40,40,79,,,3,
pesmaster,https://www.pesmaster.com/m-rojo/pes-2018/player/41174/,41174,81 M. Rojo,Manchester United,English League,Argentina,27,187,80,CB,,,,,,,,,,,,,,,72,70,74,77,55,60,67,,80,83,80,75,75,69,84,82,40,3,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/edno/pes-2018/player/41187/,41187,75 Edno,Moreirense,Portugal League,Brazil,34,183,92,CF,,,,,,,,,,,,,,,79,78,76,77,76,76,78,,53,73,81,75,76,56,71,73,40,4,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/rafael/pes-2018/player/41204/,41204,75 Rafael,Cruzeiro EC,Brazilian League,Brazil,28,192,84,GK,,,,,,,,,,,,,,,57,52,55,60,42,46,45,,66,46,76,72,74,62,83,83,85,2,79,79,84,80,61,,,2,
pesmaster,https://www.pesmaster.com/thiago-heleno/pes-2018/player/41209/,41209,75 Thiago Heleno,Atlético Paranaense,Brazilian League,Brazil,29,187,85,CB,,,,,,,,,,,,,,,69,63,62,63,58,63,62,,,78,82,69,68,62,88,82,40,2,40,40,40,40,70,,,1,
pesmaster,https://www.pesmaster.com/gil/pes-2018/player/41220/,41220,78 Gil,Free,Position,Brazil,30,192,87,CB,,,,,,,,,,,,,,,75,66,73,75,55,50,55,,84,84,77,72,70,66,86,79,40,2,40,40,40,40,78,,,2,
pesmaster,https://www.pesmaster.com/a-orion/pes-2018/player/41224/,41224,72 A. Orión,Colo Colo,Chilean League,Argentina,36,187,85,GK,,,,,,,,,,,,,,,67,55,58,71,46,45,55,,69,58,80,68,80,65,82,80,81,2,79,79,82,76,82,,,3,
pesmaster,https://www.pesmaster.com/denis/pes-2018/player/41227/,41227,72 Dênis,São Paulo FC,Brazilian League,Brazil,30,188,86,GK,,,,,,,,,,,,,,,56,51,50,58,40,62,60,,58,43,75,65,67,76,76,78,79,2,77,78,80,79,75,,,3,
pesmaster,https://www.pesmaster.com/jean/pes-2018/player/41231/,41231,78 Jean,Palmeiras,Brazilian League,Brazil,31,170,64,RB,,,,,,,,,,,,,,,77,75,77,74,59,71,70,,70,68,75,77,78,71,72,76,40,2,40,40,40,40,85,,,2,
pesmaster,https://www.pesmaster.com/r-revoredo/pes-2018/player/41253/,41253,71 R. Revoredo,Sporting Cristal,Other Teams (Latin America),Peru,31,176,81,RB,,,,,,,,,,,,,,,70,64,67,67,55,55,60,,73,74,69,77,79,75,73,74,40,2,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/r-ruidiaz/pes-2018/player/41260/,41260,72 R. Ruidíaz,Free,Position,Peru,27,170,62,CF,,,,,,,,,,,,,,,73,75,66,68,75,69,67,,48,45,76,85,82,80,61,69,40,2,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/m-sperduti/pes-2018/player/41272/,41272,72 M. Sperduti,Banfield,Argentine League,Argentina,31,180,73,RWF,,,,,,,,,,,,,,,77,76,72,73,70,57,64,,52,54,75,77,76,71,74,74,40,3,40,40,40,40,76,,,3,
pesmaster,https://www.pesmaster.com/j-insaurralde/pes-2018/player/41275/,41275,72 J. Insaurralde,Colo Colo,Chilean League,Argentina,33,187,87,CB,,,,,,,,,,,,,,,67,65,68,70,59,61,56,,77,76,80,68,67,64,84,72,40,2,40,40,40,40,70,,,2,
pesmaster,https://www.pesmaster.com/j-quiroga/pes-2018/player/41277/,41277,68 J. Quiroga,Belgrano,Argentine League,Argentina,35,181,78,LB,,,,,,,,,,,,,,,67,54,64,73,58,70,70,,66,61,78,77,75,61,77,67,40,3,40,40,40,40,70,,,3,
pesmaster,https://www.pesmaster.com/n-guzman/pes-2018/player/41281/,41281,76 N. Guzmán,Free,Position,Argentina,31,191,96,GK,,,,,,,,,,,,,,,66,65,62,70,40,51,45,,60,63,85,55,66,70,78,80,82,2,81,83,84,85,77,,,3,
pesmaster,https://www.pesmaster.com/f-falcone/pes-2018/player/41286/,41286,70 F. Falcone,CD Aves,Portugal League,Argentina,27,188,80,CF,,,,,,,,,,,,,,,67,74,69,66,72,64,64,,54,47,75,78,77,74,79,79,40,4,40,40,40,40,75,,,3,
pesmaster,https://www.pesmaster.com/c-lema/pes-2018/player/41295/,41295,74 C. Lema,Belgrano,Argentine League,Argentina,27,190,90,CB,,,,,,,,,,,,,,,66,65,66,70,65,64,60,,74,80,86,68,72,62,85,73,40,2,40,40,40,40,82,,,3,
pesmaster,https://www.pesmaster.com/j-mensah/pes-2018/player/41301/,41301,64 J. Mensah,Free,Position,Ghana,27,188,83,CB,,,,,,,,,,,,,,,66,59,65,60,48,58,55,,68,74,67,58,65,60,84,72,40,2,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/g-tzavellas/pes-2018/player/41303/,41303,73 G. Tzavellas,Free,Position,Greece,30,183,72,CB,,,,,,,,,,,,,,,71,62,76,75,60,77,76,,74,75,80,68,66,76,77,72,40,2,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/j-mercier/pes-2018/player/41305/,41305,76 J. Mercier,San Lorenzo,Argentine League,Argentina,37,185,72,DMF,,,,,,,,,,,,,,,76,70,80,78,70,55,60,,76,78,80,70,68,70,80,70,40,3,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/m-rodriguez/pes-2018/player/41419/,41419,74 M. Rodríguez,Universidad de Chile,Chilean League,Argentina,31,178,75,RB,,,,,,,,,,,,,,,70,68,68,68,65,60,72,,68,68,73,78,75,70,74,75,40,3,40,40,40,40,80,,,3,
pesmaster,https://www.pesmaster.com/f-seymour/pes-2018/player/41424/,41424,70 F. Seymour,Universidad de Chile,Chilean League,Chile,30,174,78,CMF,,,,,,,,,,,,,,,72,68,72,70,65,65,65,,72,70,75,75,72,70,72,70,40,3,40,40,40,40,75,,,2,
pesmaster,https://www.pesmaster.com/e-vargas/pes-2018/player/41425/,41425,78 E. Vargas,Free,Position,Chile,28,173,71,RWF,,,,,,,,,,,,,,,83,82,71,69,78,68,74,,43,42,76,83,87,80,68,78,40,2,40,40,40,40,78,,,3,
pesmaster,https://www.pesmaster.com/m-diaz/pes-2018/player/41428/,41428,78 M. Díaz,Free,Position,Chile,31,166,64,DMF,,,,,,,,,,,,,,,80,70,82,80,52,80,80,,73,79,82,58,65,88,66,70,40,2,40,40,40,40,83,,,1,
pesmaster,https://www.pesmaster.com/p-magalhaes/pes-2018/player/41444/,41444,68 P. Magalhaes,Antofagasta,Chilean League,Chile,28,176,74,RB,,,,,,,,,,,,,,,64,61,64,56,63,63,66,,64,61,75,79,78,60,73,76,40,3,40,40,40,40,81,,,3,
pesmaster,https://www.pesmaster.com/c-aranguiz/pes-2018/player/41451/,41451,79 C. Aránguiz,Free,Position,Chile,28,171,71,CMF,,,,,,,,,,,,,,,80,73,80,78,66,72,75,,65,77,77,78,80,70,73,69,40,3,40,40,40,40,84,,,2,
pesmaster,https://www.pesmaster.com/p-garces/pes-2018/player/41465/,41465,74 P. Garcés,Antofagasta,Chilean League,Chile,33,181,77,GK,,,,,,,,,,,,,,,53,52,56,58,44,45,47,,64,46,78,73,75,68,78,79,84,3,78,78,81,80,60,,,3,
pesmaster,https://www.pesmaster.com/f-silva/pes-2018/player/41468/,41468,77 F. Silva,Free,Position,Chile,31,178,80,DMF,,,,,,,,,,,,,,,75,69,80,78,63,67,70,,78,78,85,65,60,74,80,79,40,2,40,40,40,40,82,,,2,
